"","a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","b1","b10","b11","b12","b13","b14","b15","b16","b17","b2","b4","b6","b7","b8","b9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
"ME104514",86600000,1.12e+08,2.4e+08,2.98e+08,1.29e+08,90600000,72200000,77500000,56100000,2.46e+08,1.77e+08,81900000,1.33e+08,46400000,49200000,1.96e+08,1.94e+08,3.52e+08,1.52e+08,1.88e+08,1.3e+08,1.82e+08,62700000,42700000,2.38e+08,22500000,52200000,1.03e+08,1.43e+08,39300000,92900000,1.54e+08,1.1e+08,2.29e+08,1.31e+08,1.22e+08,1.54e+08,80700000,51500000,1.6e+08,31400000,2.14e+08,1.11e+08,1.54e+08,52600000
"ME104515",1820000,7940000,20100000,23500000,14300000,4250000,10400000,9910000,4100000,2e+07,10400000,6430000,10300000,10800000,3070000,9130000,14400000,2.6e+07,1.8e+07,15100000,8490000,21300000,6160000,3910000,16200000,1.2e+07,6910000,11200000,13200000,3590000,3360000,9820000,18500000,20600000,13400000,8060000,17900000,6450000,4410000,18400000,6290000,12500000,7860000,10200000,5210000
"ME104516",4560000,881000,10600000,6280000,5410000,464000,2100000,6020000,1830000,21400000,8160000,1450000,2310000,6200000,685000,18800000,3720000,19800000,4960000,7450000,2030000,3430000,1930000,936000,18900000,15200000,5110000,1450000,9080000,816000,6680000,1930000,2250000,5640000,8e+06,1790000,2500000,3100000,469000,16300000,3070000,6030000,4280000,3470000,518000
"ME104517",18500000,42800000,6e+07,1.42e+08,52800000,24500000,49600000,3.7e+07,2.3e+07,67900000,43100000,35100000,34100000,3.9e+07,21700000,45100000,70400000,80100000,1.06e+08,48300000,43900000,52300000,29500000,20600000,58700000,74700000,4.1e+07,33200000,4.3e+07,18900000,22400000,57900000,66900000,1.22e+08,5e+07,38700000,75200000,3.3e+07,23800000,67500000,2.9e+07,62100000,33800000,44100000,18300000
"ME104518",NA,2060,NA,NA,NA,NA,1780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998000,NA,NA,NA,NA,NA,NA
"ME104519",12600000,10900000,22200000,28300000,4610000,6010000,7480000,10700000,4340000,60200000,17600000,12900000,16800000,12200000,3010000,43200000,13600000,3.7e+07,31100000,16700000,9640000,25300000,5330000,3130000,31200000,10900000,24500000,10300000,30900000,3080000,2.2e+07,9320000,12700000,33500000,14900000,11800000,23600000,4110000,2750000,41400000,8560000,34300000,6800000,38900000,4010000
"ME104520",939000,1360000,1330000,2360000,1150000,179000,2570000,344000,17500,10800000,2670000,223000,642000,1.6e+07,939000,4130000,2500000,7690000,4780000,4010000,1090000,1470000,37500000,9e+05,5300000,9570000,921000,937000,35600000,1910000,3680000,491000,1850000,8220000,2040000,1630000,1750000,3610000,861000,11800000,1580000,3750000,326000,2550000,2030000
"ME104521",6910000,190000,37400000,21200000,20400000,19700,53000,12400000,12400000,27400000,41200000,47000,24600000,77400000,23200000,34300000,142000,193000,49500000,18700,23200000,8310000,11900000,1760000,19600000,89600000,335000,23800000,31300000,8990000,3500000,25500,37100000,2.3e+07,18500000,141000,26300,13600000,11500000,11700000,18200000,13800000,64700,38200000,27600000
"ME104522",267000,5470000,3560000,1650000,3260000,4160,854000,993000,128000,20300000,6100000,3120000,1440000,5120000,2400000,11500000,10700,1330000,6590000,3760000,1310000,577000,2920000,1510000,2080000,9770000,8670000,3750000,27800000,893000,102000,274000,2360000,721000,3210000,16900,11900000,722000,1990000,521000,1910000,7340000,159000,4060000,3410000
"ME104523",330000,6520000,2600000,464000,4120000,4980,391000,1010000,390000,22500000,6080000,3410000,1470000,6130000,1730000,11500000,1400,1300000,5980000,4180000,1050000,430000,3020000,1980000,1570000,10200000,9750000,3140000,31600000,1340000,225000,177000,2060000,166000,3610000,4490,13900000,401000,2130000,388000,1780000,6100000,150000,3850000,3040000
