"","a1","a10","a11","a12","a13","a14","a15","a16","a17","a2","a4","a6","a7","a8","a9","b1","b10","b11","b12","b13","b14","b15","b16","b17","b2","b4","b6","b7","b8","b9","c1","c10","c11","c12","c13","c14","c15","c16","c17","c2","c4","c6","c7","c8","c9"
"ME104202",1650,7390,6600,799000,142000,2140,309000,6700,1780,36000,34700,27200,131000,7170,NA,48900,NA,41000,103000,5220,68800,523000,NA,10400,16000,341000,141000,16000,25700,1360,33500,4e+05,58800,56500,5640,15100,70500,4750,2160,34600,1840,19200,4420,696000,2060
"ME104203",NA,2580,27900,52800,8720,NA,21400,NA,NA,57800,18400,2100,2860,8150,NA,5770,4550,91400,26800,NA,2960,14300,1630,3320,33500,151000,NA,4620,7730,NA,NA,18200,29800,34700,4120,5750,737000,NA,NA,14600,11300,10300,4280,2990,NA
"ME104204",135000,56700,911000,1030000,344000,18800,262000,550000,218000,2800000,679000,285000,1460000,512000,22900,913000,3640000,1860000,970000,497000,292000,1190000,207000,810000,879000,845000,41700,788000,2180000,16600,665000,1440000,875000,1200000,271000,1540000,1760000,414000,9890,1250000,967000,1970000,72000,594000,155000
"ME104205",40500,141000,145000,164000,544000,11700,17300,35900,4080,1800000,60600,5120,2e+05,863000,860000,92500,648000,253000,337000,1940000,72000,179000,15100,29900,1120000,897000,22000,33000,157000,449000,56000,406000,127000,1780000,979000,98900,478000,73100,834000,559000,17600,113000,28900,565000,535000
"ME104206",13300,795000,2250000,5200000,954000,242000,314000,507000,127000,270000,227000,261000,904000,490000,23500,418000,1480000,3060000,2530000,1020000,591000,807000,306000,37500,440000,3410000,879000,625000,158000,15500,9570,931000,2620000,5260000,1830000,430000,1130000,271000,293000,585000,2000,2180000,777000,937000,9540
"ME104182",30800,33400,35200,23900,86800,30000,199000,138000,27400,80700,63600,54300,160000,101000,92300,113000,836000,31300,96800,66800,115000,38700,90400,938000,44900,292000,85500,62700,43300,27800,334000,113000,410000,773000,160000,339000,221000,35600,129000,64100,96000,51600,36500,129000,46000
"ME104207",124000,1e+06,144000,990000,924000,351000,555000,141000,426000,486000,1010000,445000,765000,142000,1140000,36700,694000,156000,805000,284000,710000,504000,1250000,133000,173000,103000,733000,623000,148000,906000,222000,665000,841000,1150000,155000,1230000,116000,477000,162000,894000,824000,293000,143000,353000,281000
"ME104208",412000,177000,1630000,5300000,6e+05,250000,1760000,157000,50200,2490000,404000,964000,737000,2730000,24300,2010000,3170000,212000,6610000,1890000,670000,1290000,396000,87900,1330000,4570000,530000,565000,2290000,37900,266000,2350000,903000,5390000,2590000,491000,3970000,1160000,249000,2500000,1560000,4040000,77000,2330000,86100
"ME104176",10600000,152000,84100000,71100000,15400000,21700000,1200000,285000,915000,11700000,20200000,12700000,7420000,50800000,2680000,1.43e+08,20200000,2740000,1.01e+08,36300000,787000,94900000,725000,3270000,3180000,3780000,24900000,10300000,9830000,1700000,2.1e+07,33800000,5030000,14300000,5320000,524000,89400000,735000,1960000,943000,2510000,3.7e+07,28900000,19300000,2970000
"ME104183",11800000,7840000,25600000,21900000,9680000,5050000,45300000,11100000,3920000,52400000,35200000,9680000,10900000,17100000,20900000,50700000,13300000,29400000,20100000,12400000,10400000,36200000,5190000,5240000,61300000,27900000,16400000,7990000,28700000,42800000,17200000,10900000,20500000,2.2e+07,11500000,11100000,86700000,5190000,4720000,87500000,24800000,24400000,9220000,2.8e+07,24700000
"ME104184",2350000,4260000,14800000,15600000,20300000,2610000,9290000,4650000,2430000,13900000,11200000,3370000,5570000,6630000,2420000,13100000,9130000,29900000,1.1e+07,18800000,4520000,12700000,2820000,3210000,9430000,22800000,6010000,3580000,16800000,3480000,4530000,9340000,13100000,12500000,13900000,7370000,16500000,3960000,15300000,13500000,7140000,11200000,3860000,10300000,7850000
"ME104185",3280000,3280000,5170000,2.2e+07,3370000,1800000,9860000,13300000,6630000,25600000,19400000,2050000,2820000,5270000,23700000,3090000,1.2e+07,35400000,2940000,2180000,1530000,5830000,9560000,3770000,16500000,3620000,3580000,1510000,8e+06,12500000,3740000,4200000,3170000,4370000,1810000,3110000,1500000,3810000,3340000,8070000,4190000,12400000,1940000,2170000,2.1e+07
"ME104186",10400000,38300000,47400000,33500000,42600000,47400000,16400000,57300000,61200000,3.1e+07,11600000,43800000,55200000,44500000,45800000,49800000,8080000,7210000,22900000,56500000,32800000,3.6e+07,17700000,62600000,8740000,48300000,4.2e+07,18900000,47200000,61800000,59900000,9e+06,49400000,7200000,18900000,8500000,42200000,8370000,20900000,38500000,52800000,3.8e+07,53200000,58600000,4.4e+07
"ME104209",427000,2530000,1990000,6030000,1460000,760000,2520000,2130000,378000,2310000,2080000,966000,1320000,2610000,569000,2700000,3820000,3350000,5410000,611000,1850000,2750000,1870000,635000,2070000,5560000,1600000,1780000,1290000,567000,692000,2510000,2350000,6600000,1680000,1360000,3310000,1180000,491000,2050000,1440000,2410000,1010000,2400000,774000
"ME104187",2490000,7720000,15200000,26100000,9740000,3520000,10500000,5930000,2940000,14900000,9060000,4900000,5900000,10500000,2210000,15800000,13300000,18800000,19200000,9030000,9470000,1.4e+07,4120000,3510000,1.4e+07,15900000,7660000,5910000,10900000,3500000,4960000,7910000,18600000,21600000,10100000,7130000,20800000,4730000,3750000,18400000,5560000,13500000,6980000,10200000,3530000
"ME104188",1270000,2330000,5810000,9390000,3110000,1640000,6410000,2880000,1110000,11800000,4640000,3470000,4210000,4130000,2080000,5450000,7240000,7760000,9330000,3290000,3360000,7270000,2e+06,1310000,6910000,8370000,4660000,1940000,6180000,1720000,3420000,4390000,16100000,11500000,3260000,4030000,9340000,2920000,1350000,7610000,4730000,8370000,1810000,3440000,1960000
"ME104189",4960,50800,44700,95500,12200,21500,67800,122000,13500,90300,34900,23200,24900,13700,448000,11700,13200,14300,45300,51800,23800,23200,60600,17500,42100,78500,52400,13200,51000,150000,565000,7360,170000,708000,42000,175000,736000,246000,238000,1250000,6620,1380000,73700,295000,1030000
"ME104190",27400,118000,460000,1170000,294000,37100,409000,26100,13600,122000,168000,45600,110000,350000,2970,427000,457000,1200000,1280000,259000,141000,130000,83900,38600,477000,563000,150000,92800,62800,10600,249000,196000,1340000,525000,138000,489000,588000,153000,32300,379000,57800,462000,75000,102000,15600
"ME104191",8090,2640,275000,160000,6460,2910,167000,44800,1180,938000,16600,7350,144000,105000,17000,5430,46500,227000,136000,20700,38700,189000,16300,7070,221000,155000,2720,8550,42700,9400,113000,22000,113000,61200,187000,52300,53200,27600,1980000,15600,5400,384000,3220,4190,88100
"ME104192",2210,13300,18300,66100,6950,6650,28700,1880,2880,89300,2550,1810,27700,9040,1820,73000,2450,235000,130000,10100,103000,245000,2970,1190,4520,172000,19500,3250,18600,1660,2800,976,46600,22700,2120,76200,48300,1900,3990,91500,4010,4760,3720,9310,6960
"ME104193",12500,3380,22200,19800,21100,2010,21500,2520,2650,7070,15900,2780,5080,10800,3530,9730,12100,67500,3310,1940,20400,15200,2520,10100,14500,8460,12100,5080,3950,834000,4980,1890,68400,8660,22100,6720,12200,2110,247000,6570,7560,1970,6350,19000,30900
"ME104210",222000,304000,323000,288000,68600,181000,201000,157000,171000,175000,121000,305000,145000,86900,220000,305000,348000,361000,335000,344000,354000,373000,328000,183000,388000,254000,329000,366000,335000,356000,359000,352000,263000,374000,302000,340000,290000,364000,271000,294000,281000,356000,249000,315000,337000
"ME104211",4600,1650,67500,1120000,NA,1640,4360,1360,NA,10900,15500,19500,7020,43700,NA,22500,17900,232000,96700,NA,1850,81700,NA,NA,21900,88100,142000,11500,13800,1820,4600,2450,91000,175000,1650,1310,37200,1570,1910,9340,5820,209000,39100,45600,NA
"ME104194",779000,285000,4770000,70600,2370000,NA,70700,481000,741000,4830000,9660000,89400,737000,4810000,4170000,7470000,2190,54700,5580000,91400,661000,104000,437000,323000,2820000,2.2e+07,192000,3200000,7210000,636000,340000,2980,9640000,1140000,1430000,36900,725000,417000,250000,4190000,1500000,2530000,19700,3120000,1290000
"ME104195",3030000,3040000,29700000,1.3e+07,8630000,2570000,3e+06,5910000,3720000,11100000,12100000,909000,8500000,2330000,7250000,2960000,9610000,33700000,58800000,5140000,2570000,14800000,2520000,3390000,4070000,11700000,11100000,18100000,4600000,1210000,6700000,4770000,39900000,11900000,4390000,11900000,17200000,6400000,6550000,5080000,7280000,23400000,2540000,5350000,26700000
"ME104196",2170000,2220000,10400000,1690000,2070000,2040000,2400000,2460000,2290000,1770000,32700000,2080000,1870000,2060000,1970000,2200000,2130000,2720000,2150000,2150000,2440000,2220000,2230000,2260000,2430000,2030000,2780000,2050000,2310000,2980000,4370000,1900000,28300000,1930000,2440000,2060000,1990000,1770000,1950000,2400000,2640000,2220000,2300000,1850000,2710000
"ME104197",11300,8080,2720000,256000,78400,3860,48800,10900,36800,255000,34900,42400,15700,42200,63100,101000,383000,415000,11800,14100,32900,55900,210000,3460,159000,78700,16600,28100,52400,4920,27200,75100,138000,218000,71800,22300,35200,18400,42000,37800,21700,287000,18800,14400,9780
"ME104198",14200,48300,51800,65300,39900,8640,203000,24000,30700,660000,56100,32600,21500,20800,27300,59300,10600,117000,40800,13400,16500,141000,12100,16000,503000,12300,9510,36600,12700,6620,29600,38800,21200,27600,13200,20700,23100,35400,36300,405000,1330,137000,32000,112000,20000
"ME104199",1710,37100,1210,8800,2010,1280,1870,1710,4310,50400,4450,1530,99100,2170,1160,24700,380000,1020000,15000,4760,2340,22800,1490,1550,3800,5240,1670,2250,3870,1780,1150,2060,4270,7070,49300,11100,13100,795,1800,6440,1490,4210,638,2410,11400
"ME104200",33700,3320,3930,16400,14400,2030,47500,15300,3790,75100,85000,4160,1270,4270,3700,668000,6520,49500,4510,99600,12900,44700,41400,6060,95700,20500,5210,1280,42500,7050,16700,3780,17400,3450,14400,22800,9970,147000,894000,61800,6240,9560,8440,8490,3660
"ME104177",134000,7630,160000,23500,337000,NA,107000,1310,36900,241000,432000,4870000,NA,867000,23500,30000,489000,277000,20100,30600,4720,1990000,7910,45200,7110000,414000,19000,3700,37000,31500,26200,628000,37900,645000,508000,230000,413000,19900,1410000,202000,287000,258000,NA,350000,66800
"ME104178",79200,6720,726000,276000,50000,18300,3880,95900,9290,481000,474000,11800,216000,438000,49900,342000,1380000,1790000,482000,19300,187000,75900,128000,76400,271000,859000,19500,59300,1120000,22600,337000,153000,2050000,2450000,79600,820000,735000,3450000,396000,570000,671000,605000,244000,533000,385000
"ME104137",1520,8900,1e+05,1180000,79500,1720,588000,1950,NA,44300,20000,2280,24500,3500,1640,4490,4860,8370,69700,4700,11200,852000,1880,5500,8200,24100,4910,2800,3840,1910,2960,36700,133000,8900,4260,2800,69600,27900,1660,33800,4280,2770,3650,21400,1790
"ME104212",34000,1790000,3200000,8490000,1990000,749000,1430000,1730000,211000,2440000,1880000,1350000,1260000,1830000,286000,990000,2550000,5230000,3820000,2060000,2180000,1960000,1590000,78000,2770000,4600000,2330000,849000,1110000,207000,526000,1230000,5110000,6240000,3080000,1330000,2390000,1550000,318000,3250000,120000,2690000,1360000,1920000,280000
"ME104201",4.52e+08,2.78e+08,2.69e+08,2.77e+08,4.64e+08,2.61e+08,3.06e+08,2.33e+08,2.66e+08,2.54e+08,2.98e+08,4.1e+08,2.46e+08,2.62e+08,2.64e+08,2.64e+08,3.26e+08,3.19e+08,2.95e+08,2.62e+08,2.84e+08,2.6e+08,2.83e+08,2.32e+08,3.5e+08,2.8e+08,4.51e+08,2.81e+08,2.59e+08,2.76e+08,2.8e+08,2.68e+08,2.7e+08,3.32e+08,2.94e+08,3.1e+08,2.56e+08,3.05e+08,2.82e+08,2.69e+08,4.59e+08,2.78e+08,2.55e+08,2.67e+08,2.79e+08
"ME104213",3330,31500,54400,26200,52800,5700,4010,4070,3200,60800,3040,3160,36800,34900,1970,9470,35700,69400,43300,49700,8430,26200,2100,4490,67200,53100,8190,17100,27200,2440,4940,15600,51900,4740,17800,15500,594000,3190,6160,29500,7710,34000,8550,24200,5520
"ME104214",3470,1130,10900,2760,7200,1690,2220,2740,1730,74900,85200,2140,10000,335000,5730,8080,30100,15800,2690,3010,3440,12400,2630,1830,445000,12700,2190,7720,6780,3490,3820,2930,9320,2320,194000,3640,2590,2670,2160,142000,2200,3160,1980,2830,76600
"ME104215",74600,173000,195000,95200,27000,55200,82400,103000,207000,142000,172000,25700,145000,137000,91600,35900,86600,125000,203000,117000,47300,144000,220000,385000,112000,90900,75700,156000,192000,142000,369000,145000,110000,150000,92500,91400,44800,219000,111000,209000,57600,50100,146000,105000,672000
"ME104216",153000,40600,84500,92700,19700,59000,73300,49800,108000,99800,80100,180000,99100,38400,17300,86800,43400,118000,92000,113000,192000,45600,167000,147000,117000,80300,106000,93600,101000,70300,25400,24300,250000,91400,178000,19900,948000,55300,112000,42000,20900,30300,188000,344000,34600
"ME104179",3380000,6760000,18400000,34600000,10500000,4760000,14400000,5850000,3830000,26700000,14500000,6280000,9670000,1.7e+07,3990000,22400000,16400000,26900000,25600000,10900000,11900000,15500000,4620000,4590000,2.2e+07,40300000,9940000,8450000,15700000,4450000,6960000,13900000,24800000,32800000,13500000,9680000,21100000,5430000,4750000,24500000,8940000,16200000,7540000,20800000,6070000
"ME104217",5080,1470,9270,77200,3220,1410,10800,1930,2540,12100,3820,16400,1740,170000,1120,16900,2770,9420,4690,8610,4100,40700,1220,NA,54700,885000,17700,1950,3380,1670,6400,1160000,21600,8700,3210,5120,18900,714,1190,17900,3210,32200,1130,18200,NA
"ME104218",55500000,1.2e+08,1.99e+08,3.16e+08,1.47e+08,74300000,1.92e+08,1.03e+08,66400000,2.26e+08,1.88e+08,97300000,1.09e+08,1.46e+08,58500000,2.02e+08,2.17e+08,2.78e+08,2.76e+08,1.29e+08,1.51e+08,1.91e+08,86400000,81500000,2.17e+08,2.41e+08,1.45e+08,1.13e+08,1.66e+08,76300000,84300000,1.52e+08,2.27e+08,3.24e+08,1.54e+08,1.31e+08,2.43e+08,88900000,83100000,2.21e+08,1.15e+08,1.96e+08,1.07e+08,1.44e+08,82600000
"ME104180",23900,1390000,846000,14800,7590,2270,157000,1510,1960,36400,120000,3170,24800,3e+06,2300,37400,68900,81400,5330,30400,7740,12800,18000,1910,237000,70900,9630,17200,467000,2490,5910,12200,16400,48200,205000,1e+05,7810,4380,2160,420000,11100,14600,3110,3540,6680
"ME104181",3850,6490,14600,216000,4890,1620,14100,10500,2040,83200,3040,1460,10900,12500,1580,43100,22700,221000,103000,7800,8330,15300,1680,5870,9900,88900,42300,1310,17600,1440,4410,1900,53000,609000,9150,1410,33700,2450,2040,28300,9100,34000,2000,5930,8110
"ME104219",9090,28000,75500,116000,36400,125000,135000,20400,13400,188000,49700,17600,59300,702000,148000,133000,350000,88600,29700,1240000,10500,605000,6560,320000,75400,384000,20700,49500,118000,14800,60900,45100,90600,121000,2290000,112000,340000,15400,249000,118000,40400,132000,37300,87000,78800
"ME104220",2390000,2470000,1960000,1790000,2450000,2490000,2160000,2770000,2640000,2110000,1970000,2030000,2090000,2020000,2520000,2280000,2440000,1930000,2080000,2590000,2600000,2190000,2460000,2500000,2120000,2160000,2100000,2010000,2230000,2770000,2300000,2390000,2060000,1930000,2540000,2560000,2090000,2390000,2460000,2500000,2240000,2160000,2090000,2070000,2550000
"ME104221",1300000,1190000,1070000,1250000,1270000,1180000,1310000,1130000,1240000,1160000,1290000,1130000,1040000,1040000,1180000,1190000,1680000,1280000,1230000,1110000,1200000,1070000,1170000,990000,1830000,1050000,1210000,1210000,1140000,1080000,1160000,1280000,1110000,1500000,1300000,1450000,1040000,1490000,1270000,1190000,1160000,1240000,941000,1140000,1210000
"ME104222",940000,907000,762000,5150000,831000,880000,897000,1e+06,1010000,905000,870000,457000,248000,438000,905000,610000,869000,737000,1140000,318000,924000,305000,945000,869000,933000,893000,592000,751000,841000,996000,486000,932000,546000,1340000,953000,907000,795000,950000,941000,1100000,828000,916000,519000,310000,1050000
"ME104223",156000,52300,908000,5980000,2440,13600,411000,3090,14400,115000,297000,478000,149000,834000,2770,648000,33000,1630000,1620000,1670,16000,1470000,2990,19200,329000,2140000,857000,465000,178000,2930,318000,30600,636000,1750000,2790,94400,476000,3110,32700,80300,309000,2290000,331000,549000,13800
"ME104224",9300,11000,123000,115000,5140,6150,107000,14500,2520,128000,99300,12300,29400,138000,3680,10600,942000,16500,29100,38600,11000,27100,4560,49800,94100,299000,46900,4340,27700,10600,10500,828000,9640,25900,10900,10300,210000,18700,5260,4650,12600,34100,3310,32700,7960
"ME104225",283000,34700,967000,353000,25700,104000,31100,185000,357000,376000,8170000,246000,224000,1180000,171000,158000,151000,224000,1610000,174000,295000,473000,1320000,101000,56400,4090000,268000,3820000,884000,513000,74900,230000,29900000,399000,305000,171000,183000,846000,744000,108000,671000,2640000,219000,1190000,1160000
"ME104226",374000,541000,8960000,3690000,355000,91600,2240000,3080,11600000,303000,1340000,58700,3e+06,5310000,40500,945000,14800,5110000,2080000,757000,5270000,1110000,2450,22500000,12200000,7080000,2930000,5310000,997000,42900,1300000,27600000,1930000,4230000,72500,1450000,1390000,2370,7190000,371000,5330000,284000,2220000,4260000,35600
"ME104227",2150000,80800,3270000,1810000,7720000,41900,2080000,3520,119000,3990000,135000,52100,5130000,3120000,2270,8540,2290,24200000,92400,203000,269000,705000,2350,1510000,1700000,512000,178000,762000,32900,3510,9910000,3410000,369000,126000,11500,1410000,21100,987,401000,460000,3150000,21300,244000,908000,5870
"ME104228",18700000,41700000,9.2e+07,76200000,37900000,23300000,69100000,20600000,19900000,1.11e+08,65100000,35500000,52100000,51300000,17100000,77800000,85900000,1.12e+08,72200000,58300000,33500000,9.3e+07,22500000,19500000,81600000,68200000,54800000,36500000,1.1e+08,20600000,31400000,40900000,5.5e+07,74700000,47500000,41600000,1.13e+08,1.9e+07,25800000,68800000,51500000,1.02e+08,27400000,70300000,32900000
"ME104138",11500000,20600000,37600000,52300000,28900000,7600000,42600000,36100000,6620000,49600000,26400000,16300000,1.4e+07,24600000,8220000,61200000,41200000,50800000,45300000,2.3e+07,1.9e+07,28900000,17300000,10100000,34300000,5.1e+07,22200000,11500000,30300000,12700000,16900000,3.4e+07,35600000,67500000,26700000,25700000,43400000,41100000,12900000,42300000,20900000,28200000,8560000,19700000,15100000
"ME104139",244000,672000,1900000,3010000,1080000,323000,903000,757000,256000,2410000,1210000,499000,924000,1140000,30400,1440000,1620000,2440000,1530000,1200000,579000,961000,204000,275000,2190000,2440000,826000,734000,1430000,264000,468000,914000,1970000,3080000,823000,835000,1250000,665000,78600,1940000,377000,1520000,360000,1120000,467000
"ME104140",355000,1020000,982000,381000,1030000,572000,929000,639000,473000,226000,908000,782000,887000,734000,381000,994000,696000,157000,505000,1030000,567000,115000,480000,386000,413000,382000,63100,892000,776000,1e+05,714000,650000,485000,3e+05,1110000,714000,624000,526000,618000,1100000,194000,167000,1080000,946000,405000
"ME104268",82900,1330000,3980000,7860000,1490000,396000,1670000,2060000,122000,620000,2250000,678000,2110000,1930000,74300,1960000,2360000,5220000,4510000,1680000,2030000,2130000,1580000,283000,847000,4890000,1350000,2130000,1590000,250000,126000,976000,4480000,5800000,2250000,1490000,3020000,1600000,351000,857000,58500,2580000,2140000,1920000,117000
"ME104237",51500000,1.22e+08,57500000,94500000,64100000,22800000,51900000,53100000,38900000,1.87e+08,34400000,1.06e+08,1.13e+08,54200000,33600000,55100000,1.37e+08,72300000,84400000,56200000,22700000,1.68e+08,8.7e+07,38400000,1.56e+08,67500000,6.2e+07,46400000,99100000,41800000,91900000,90200000,44600000,1.01e+08,43400000,51400000,83500000,1.26e+08,43900000,1.27e+08,45600000,1.63e+08,39100000,53700000,57300000
"ME104229",2490,5120,9170,14300,13000,3120,9110,5480,4070,191000,75300,13000,1040,55600,19800,36600,57500,17900,56600,18300,6370,64700,5530,1640,301000,22100,14700,1250,14800,90700,6600,8770,12000,77600,13100,46200,288000,2130,966,895000,6930,41100,2710,14100,10100
"ME104238",1170000,1510000,5810000,17500000,4010000,668000,4480000,649000,244000,4410000,7840000,2860000,1930000,4900000,303000,5470000,3410000,6640000,8460000,4070000,5640000,9940000,429000,478000,8430000,8090000,2870000,972000,4020000,628000,2100000,1200000,9730000,11900000,3930000,3670000,13700000,1670000,966000,8400000,5940000,5550000,2110000,1800000,813000
"ME104239",3860000,5330000,9760000,20100000,7370000,5990000,11200000,6480000,2620000,15900000,11600000,6910000,8800000,13200000,4670000,14500000,2.1e+07,13600000,16400000,6270000,12600000,10800000,4160000,3390000,14100000,19700000,8300000,7030000,11900000,5490000,6850000,7790000,11700000,19600000,7510000,10400000,1.3e+07,4840000,3120000,1.5e+07,9340000,12700000,7050000,11200000,7360000
"ME104240",1870,1240000,306000,86200,4500,2640,6110,1580,32400,2160,1670000,1980,422000,1070,1820,4980000,1860,2560,34000,2150,643000,1050000,1360,759000,4190,91600,3070,211000,395000,1590,1210000,4950000,76700,47200,NA,71100,NA,NA,2290,1060,NA,2910,NA,NA,2180
"ME104241",749000,2230000,5260000,8870000,2250000,1390000,4090000,1890000,663000,4860000,3480000,1580000,2660000,4340000,853000,3620000,4480000,6950000,6240000,2280000,3610000,4390000,1400000,949000,4080000,7440000,2730000,2090000,3550000,1230000,1410000,2670000,5130000,7600000,2560000,3400000,7360000,1480000,1060000,4880000,1900000,4720000,1960000,4110000,1490000
"ME104242",1370,1930,37900,14100,2400,1350,30200,3730,NA,428000,20900,1450,344000,2170,NA,40800,219000,83100,36500,6560,8420,70300,NA,21600,33000,35600,1790,121000,291000,NA,20900,81700,6820,18900,17800,119000,4690,2280,NA,16800,4080,111000,1470,25600,NA
"ME104243",867000,2e+06,4330000,5190000,2090000,1030000,4180000,1340000,696000,4010000,3490000,1210000,810000,2650000,914000,3640000,4410000,5670000,2820000,1950000,3640000,5e+06,815000,583000,3270000,4020000,1900000,1810000,2330000,2920000,1380000,1670000,5220000,4650000,2210000,2160000,6310000,1160000,764000,4470000,2060000,3300000,1880000,2210000,1390000
"ME104244",142000,555000,1210000,1720000,443000,112000,1930000,226000,69100,919000,699000,170000,353000,704000,125000,850000,1170000,1710000,685000,360000,405000,2710000,160000,88200,644000,1420000,461000,429000,324000,366000,194000,561000,1220000,1660000,509000,422000,2430000,139000,84100,847000,292000,894000,536000,668000,363000
"ME104245",165000,47300,19500,1180000,68800,13700,32600,169000,3540,932000,201000,38900,457000,172000,10700,4690000,329000,347000,673000,56800,34800,87300,749000,64200,855000,714000,308000,7240,964000,53200,141000,294000,432000,135000,137000,137000,209000,94800,4820,206000,297000,688000,17500,144000,9650
"ME104246",13700000,3180000,3.3e+07,24500000,12800000,5220000,11400000,2730000,1880000,2.1e+07,1.3e+07,7040000,12400000,2.4e+07,2100000,38600000,24300000,54100000,20900000,6590000,9100000,16600000,4410000,3890000,14400000,5.4e+07,6630000,3340000,24200000,2070000,19400000,11600000,41900000,20400000,8710000,23200000,33200000,5690000,1440000,12600000,12400000,27400000,9510000,10300000,3750000
"ME104247",4320000,4120000,12100000,1.4e+07,8250000,2510000,8830000,3020000,1970000,15300000,8930000,3900000,6710000,13200000,1290000,22200000,15600000,45700000,13400000,5630000,5290000,10100000,1860000,3770000,13600000,30500000,5060000,3410000,16900000,2150000,5640000,10500000,18500000,9280000,8310000,8170000,15400000,3320000,2220000,10800000,7360000,9870000,4670000,16700000,2360000
"ME104248",274000,118000,818000,1100000,497000,90900,1610000,106000,69900,1700000,1370000,285000,290000,435000,579000,1790000,422000,3200000,653000,372000,223000,1180000,127000,38600,2340000,1350000,572000,350000,646000,1250000,557000,315000,546000,839000,273000,183000,3070000,992000,81300,3030000,814000,967000,53000,460000,1020000
"ME104267",NA,2900,1840,15300,2280,2170,10800,2070,NA,7490,18700,6540,NA,7260,1630,9890,22400,27200,3700,1900,345000,38100,NA,NA,13800,3080,1850,2590,16700,NA,3730,1410,11600,10300,4440,814000,35600,2910,NA,479000,2770,4160,3430,9530,1900
"ME104230",198000,343000,338000,246000,320000,331000,319000,359000,320000,333000,299000,303000,352000,350000,401000,366000,381000,288000,323000,472000,435000,343000,363000,429000,352000,393000,329000,263000,342000,362000,506000,293000,395000,414000,355000,332000,316000,326000,346000,418000,410000,341000,405000,365000,318000
"ME104231",1e+05,207000,198000,92600,233000,89300,175000,108000,132000,217000,167000,229000,197000,62800,198000,89700,197000,222000,46800,151000,149000,173000,171000,187000,108000,110000,97600,203000,65100,180000,262000,190000,189000,125000,150000,102000,115000,218000,170000,176000,189000,203000,218000,174000,233000
"ME104232",97100,152000,91900,106000,175000,196000,166000,175000,172000,113000,142000,112000,131000,211000,148000,138000,113000,83500,54300,220000,94700,95100,139000,67400,152000,194000,165000,167000,53600,205000,272000,128000,144000,129000,134000,208000,122000,82200,131000,129000,193000,74100,171000,68600,178000
"ME104233",105000,132000,123000,133000,44100,137000,114000,146000,130000,102000,126000,148000,93600,129000,158000,117000,129000,116000,118000,154000,123000,123000,115000,140000,106000,75100,124000,120000,112000,138000,150000,101000,127000,117000,114000,138000,119000,125000,140000,50800,87600,122000,170000,131000,86300
"ME104249",1410,5020,8990,6520,13100,1910,9860,13200,1450,67400,11500,6580,13600,46700,1290,5040,23200,59200,11600,26600,7840,13900,12500,1420,1260000,39000,4410,1040,9810,2070,6400,2180,4490,2710,2230,2130,6420,96100,11800,449000,2050,8750,1340,51200,6070
"ME104250",7460000,1.5e+07,23500000,14300000,11900000,6880000,16600000,6810000,7660000,3.5e+07,9190000,8080000,12100000,11300000,4e+06,2.2e+07,26200000,38300000,10400000,18700000,1.2e+07,26300000,6700000,6310000,28800000,15300000,13500000,10600000,17300000,3980000,9920000,16900000,14100000,15200000,16900000,17100000,27300000,9900000,8510000,18500000,7e+06,24800000,5520000,2e+07,6940000
"ME104251",4930000,3.06e+08,3.06e+08,15900000,11600000,6450000,10200000,3770000,5940000,10600000,8520000,4820000,7800000,2.32e+08,1680000,11100000,36600000,59200000,14200000,17400000,2.3e+07,22600000,2320000,5080000,53800000,12400000,13400000,13200000,8550000,1560000,26900000,29200000,10100000,13200000,20400000,60500000,11100000,6560000,1800000,5810000,10400000,8720000,3580000,8030000,3670000
"ME104252",206000,NA,31100,16500,41300,NA,3120,86100,3710,1050000,184000,NA,2820,3060,6830,550000,20000,699000,40900,1e+05,2850,19200,187000,1580,961000,11000,3100,4800,178000,3730,56200,5860,2770,6780,48800,1930,2260,73700,1650,990000,13600,4100,45700,6980,NA
"ME104253",604000,6590,93200,20200,8350,9650,5100,2740,4990,4980,11100,141000,91800,44600,5170,69900,4570,343000,24900,12700,7860,5330,2570,11000,3140,10200,8690,10900,49000,2020,22300,10900,1120000,2120000,28400,6510,582000,175000,17500,1270000,13800,126000,250000,22500,63500
"ME104254",7010,68100,263000,488000,62500,44500,192000,34900,11500,194000,94800,93600,81400,86900,3020,326000,164000,210000,241000,143000,84400,82900,53500,28400,129000,143000,231000,74200,108000,6410,108000,147000,275000,428000,58600,94500,440000,82800,8670,286000,84100,140000,20800,159000,18000
"ME104255",3100,19400,36900,107000,491000,3250,41300,586000,18400,839000,576000,8410,10400,76500,34100,19400,69900,978000,23200,1720000,23200,11100,637000,62700,56200,75700,13300,167000,2590000,268000,11300,448000,531000,2430000,803000,31600,155000,353000,34200,79500,10000,169000,9660000,38000,5410
"ME104256",18700,24500,21800,44600,35100,26600,34000,11900,93300,21600,61700,46900,74400,43400,97400,5610,29800,13300,28400,68000,91500,53500,77000,97400,19700,39100,25500,63600,62600,486000,82400,41500,29500,54700,18100,15600,85700,43900,37800,20800,11800,24000,40700,209000,46900
